id,symbol,date,open_price,high_price,low_price,close_price,volume,created_at
164,EFUG,2026-01-23,128.0,128.0,127.01,128.0,5501,2026-01-22 20:00:29
165,EFUL,2026-01-23,176.57,178.49,175.26,178.0,1322,2026-01-22 20:00:33
166,ELCM,2026-01-23,213.99,216.99,213.99,216.99,2,2026-01-22 20:00:36
167,ELSM,2026-01-23,111.0,111.0,111.0,111.0,20,2026-01-22 20:00:40
168,EMCO,2026-01-23,58.05,62.0,58.05,60.5,42385,2026-01-22 20:00:42
169,ENGROH,2026-01-23,273.61,275.99,273.0,273.0,520531,2026-01-22 20:00:51
170,EPCL,2026-01-23,32.49,32.86,32.42,32.56,269045,2026-01-22 20:00:55
171,EPCLPS,2026-01-23,12.1,12.1,12.1,12.1,103228,2026-01-22 20:00:58
172,EPQL,2026-01-23,31.5,31.99,31.45,31.86,29757,2026-01-22 20:01:01
173,ESBL,2026-01-23,22.3,23.25,21.9,22.6,31308,2026-01-22 20:01:06
174,EWIC,2026-01-23,46.5,46.5,46.5,46.5,20,2026-01-22 20:01:09
175,EXIDE,2026-01-23,615.04,618.0,614.2,615.0,1250,2026-01-22 20:01:13
176,FABL,2026-01-23,99.79,99.79,98.0,98.39,279440,2026-01-22 20:01:16
177,FANM,2026-01-23,8.3,8.3,7.9,8.25,6001,2026-01-22 20:01:23
178,FASM,2026-01-23,300.75,300.75,300.0,300.0,705,2026-01-22 20:01:26
179,FATIMA,2026-01-23,176.89,177.74,175.35,175.6,268456,2026-01-22 20:01:30
180,FCCL,2026-01-23,59.38,59.6,58.91,59.1,3064070,2026-01-22 20:01:34
181,FCEL,2026-01-23,7.62,7.78,7.41,7.5,122702,2026-01-22 20:01:37
182,FCEPL,2026-01-23,87.74,88.3,87.11,87.5,171932,2026-01-22 20:01:40
183,FCIBL,2026-01-23,32.9,32.9,28.1,30.0,2352,2026-01-22 20:01:44
184,FCL,2026-01-23,25.71,25.81,25.52,25.52,341390,2026-01-22 20:01:47
185,FCSC,2026-01-23,6.86,6.95,6.8,6.85,182885,2026-01-22 20:01:54
186,FDPL,2026-01-23,6.16,6.25,6.1,6.1,92604,2026-01-22 20:01:57
187,FECM,2026-01-23,21.79,21.79,21.45,21.79,1549,2026-01-22 20:02:01
188,FECTC,2026-01-23,139.91,141.0,138.5,138.94,103233,2026-01-22 20:02:05
189,FEM,2026-01-23,11.48,11.48,11.0,11.28,7579,2026-01-22 20:02:09
190,FEROZ,2026-01-23,433.02,438.0,426.02,432.0,7711,2026-01-22 20:02:13
192,FFL,2026-01-23,23.31,23.31,22.72,22.84,4972854,2026-01-22 20:02:22
193,FFLM,2026-01-23,9.25,9.27,9.0,9.25,36012,2026-01-22 20:02:26
194,FHAM,2026-01-23,34.39,34.39,34.0,34.0,430,2026-01-22 20:02:29
195,FIBLM,2026-01-23,15.2,15.2,15.2,15.2,27958,2026-01-22 20:02:32
196,FIL,2026-01-23,186.0,186.0,156.1,174.0,7,2026-01-22 20:02:36
197,FIMM,2026-01-23,240.0,249.99,240.0,249.99,111,2026-01-22 20:02:43
198,FLYNG,2026-01-23,54.01,54.55,53.9,53.9,10341,2026-01-22 20:02:47
199,FML,2026-01-23,61.0,61.99,60.03,60.03,1444,2026-01-22 20:02:50
200,FNBM,2026-01-23,0.61,0.7,0.6,0.64,384000,2026-01-22 20:02:54
201,FNEL,2026-01-23,17.66,17.95,17.46,17.79,1662723,2026-01-22 20:02:58
202,FPJM,2026-01-23,8.94,9.08,8.76,8.84,29784,2026-01-22 20:03:00
203,FPRM,2026-01-23,12.41,13.0,12.41,12.99,11521,2026-01-22 20:03:03
204,FRCL,2026-01-23,80.0,80.0,75.31,75.31,664,2026-01-22 20:03:07
205,FRSM,2026-01-23,54.77,54.8,54.77,54.8,60,2026-01-22 20:03:10
206,FSWL,2026-01-23,107.0,107.0,106.99,106.99,121,2026-01-22 20:03:14
207,FTMM,2026-01-23,18.91,18.91,18.82,18.82,601,2026-01-22 20:03:20
208,FTSM,2026-01-23,38.0,38.0,33.54,34.25,53403,2026-01-22 20:03:24
209,FZCM,2026-01-23,259.7,259.7,246.0,246.1,1456,2026-01-22 20:03:27
210,GADT,2026-01-23,350.0,353.0,347.01,352.0,5162,2026-01-22 20:03:31
211,GAL,2026-01-23,540.69,540.69,536.52,536.52,40561,2026-01-22 20:03:34
212,GAMON,2026-01-23,21.4,21.89,21.12,21.15,9187,2026-01-22 20:03:37
213,GATI,2026-01-23,114.26,114.69,113.3,114.0,1502,2026-01-22 20:03:40
214,GATM,2026-01-23,31.88,33.25,31.74,32.9,1810665,2026-01-22 20:03:43
215,GCIL,2026-01-23,34.99,35.1,34.76,34.9,127508,2026-01-22 20:03:46
216,GCWL,2026-01-23,19.7,19.88,19.6,19.62,197890,2026-01-22 20:03:49
217,GEMBCEM,2026-01-23,10.7,10.72,10.7,10.72,1520,2026-01-22 20:03:52
218,GEMMEL,2026-01-23,27.51,27.51,27.51,27.51,2500,2026-01-22 20:03:54
219,GEMNETS,2026-01-23,31.51,33.99,31.51,33.0,2120,2026-01-22 20:03:58
220,GEMPACRA,2026-01-23,36.02,36.25,36.02,36.25,318,2026-01-22 20:04:01
221,GEMPAPL,2026-01-23,12.0,12.0,12.0,12.0,1500,2026-01-22 20:04:04
222,GEMSPNL,2026-01-23,60.11,60.11,60.02,60.02,3000,2026-01-22 20:04:07
223,GFIL,2026-01-23,22.7,23.95,21.05,22.5,28557,2026-01-22 20:04:10
224,GGGL,2026-01-23,10.91,11.17,10.71,11.14,920519,2026-01-22 20:04:13
225,GGL,2026-01-23,24.65,24.86,24.56,24.8,699602,2026-01-22 20:04:17
226,GHGL,2026-01-23,37.03,37.6,36.01,36.72,211170,2026-01-22 20:04:21
227,GHNI,2026-01-23,922.0,924.89,915.0,916.0,7194,2026-01-22 20:04:25
228,GIL,2026-01-23,1000.0,1000.0,1000.0,1000.0,0,2026-01-22 20:04:28
230,GLPL,2026-01-23,405.0,427.9,405.0,424.99,636,2026-01-22 20:04:38
231,GOC,2026-01-23,111.0,111.0,104.02,104.02,41,2026-01-22 20:04:41
232,GRR,2026-01-23,19.89,20.1,19.75,19.85,85132,2026-01-22 20:04:45
233,GRYL,2026-01-23,23.49,24.5,22.92,22.95,1476,2026-01-22 20:04:48
234,GSPM,2026-01-23,5.2,5.2,4.7,5.2,4,2026-01-22 20:04:50
235,GTYR,2026-01-23,41.7,41.7,40.85,40.88,531684,2026-01-22 20:04:53
236,GUSM,2026-01-23,8.55,8.55,8.21,8.21,599,2026-01-22 20:04:56
237,GVGL,2026-01-23,61.7,63.0,60.02,61.0,19239,2026-01-22 20:05:02
238,GWLC,2026-01-23,65.14,65.14,63.82,64.42,107277,2026-01-22 20:05:05
239,HABSM,2026-01-23,76.48,76.48,74.01,75.0,4859,2026-01-22 20:05:09
240,HADC,2026-01-23,16.2,16.98,16.0,16.51,499500,2026-01-22 20:05:13
241,HAEL,2026-01-23,22.0,22.33,22.0,22.33,425,2026-01-22 20:05:16
242,HAFL,2026-01-23,494.89,510.0,494.89,510.0,12,2026-01-22 20:05:18
243,HALEON,2026-01-23,973.0,973.0,950.0,960.0,3344,2026-01-22 20:05:25
244,HASCOL,2026-01-23,25.9,26.12,24.67,24.8,18826038,2026-01-22 20:05:29
246,HBLTETF,2026-01-23,110.9,110.9,110.9,110.9,20000,2026-01-22 20:05:37
247,HCAR,2026-01-23,261.64,265.5,260.0,265.0,222995,2026-01-22 20:05:41
